ministry,publish_date,report_title,contractor_name,department,url
METI,2025-03-11,令和３年度平常時及び緊急時における石油需給動向等調査(石油産業情報化推進調査）（令和５年度歳出化分）　○石油統計速報　○資源エネルギー統計月報(確報）　○資源・エネルギー統計年報,サーベイリサーチセンター,"資源エネルギー庁
資源・燃料部
政策課",https://www.meti.go.jp/meti_lib/report/2021FY/000490.pdf
METI,2024-07-25,令和３年度補正予算水素、燃料アンモニア導入及びCCUS適地確保体制構築事業（包括的資源外交展開に向けた脱炭素化取組動向調査、アジアのエネルギートランジション支援等に関する調査等）調査報告書（公表用）,デロイトトーマツコンサルティング合同会社,"資源エネルギー庁
資源・燃料部
石油・天然ガス課",https://www.meti.go.jp/meti_lib/report/2021FY/060160.pdf
METI,2024-04-26,令和３年度補正インド太平洋地域におけるサプライチェーン強靱化事業（地域大サプライチェーンアーキテクチャー構築検討調査）デジタル時代におけるグローバルサプライチェーン高度化研究会報告書（案）,ボストン・コンサルティング・グループ,"通商政策局
南西アジア室",https://www.meti.go.jp/meti_lib/report/2021FY/000810.pdf
METI,2024-03-22,令和３年度補正カーボンニュートラル・トップリーグ整備事業委託費（カーボン・クレジット市場の技術的実証等事業）最終報告書,東京証券取引所,"産業技術環境局
環境経済室",https://www.meti.go.jp/meti_lib/report/2021FY/050772.pdf
METI,2024-03-22,令和３年度補正「新たな学び直し・キャリアパス促進事業（客員起業家活用企業等実証支援委託事業）」報告書,一般社団法人社会実装推進センター,"経済産業政策局
新規事業創造推進室",https://www.meti.go.jp/meti_lib/report/2021FY/050789.pdf
METI,2024-02-08,令和３年度補正デジタルツール等を活用した海外需要拡大事業（外需獲得に資する企業等のデザイン資源調査・活用事業）デザイン資源を所蔵する全国の施設調査事業 報告書,三菱総合研究所,"商務サービスグループ
デザイン政策室",https://www.meti.go.jp/meti_lib/report/2021FY/050651.pdf
METI,2024-01-25,令和３年度補正再生可能エネルギー大量導入に向けた次世代型ネットワーク構築加速化事業（長距離海底直流送電システム実用化に向けた実地調査のうち先行利用状況調査）報告書,一般社団法人海洋産業研究・振興協会,"資源エネルギー庁
省エネルギー・新エネルギー部政策課制度審議室",https://www.meti.go.jp/meti_lib/report/2021FY/050538.pdf
METI,2024-01-12,令和３年度補正水素、燃料アンモニア導入及びCCUS適地確保体制構築事業（カーボンニュートラル等の社会課題解決に資する先端技術に関する国際的な情報収集・分析体制の構築事業）調査報告書,サウザンドリーフ合同会社,"産業技術環境局
研究開発課",https://www.meti.go.jp/meti_lib/report/2021FY/050572.pdf
METI,2023-12-28,令和３年度事業環境変化対応型支援事業（経営力再構築伴走支援員派遣等事業）調査報告書,有限責任監査法人トーマツ,"中小企業庁
経営支援部経営支援課",https://www.meti.go.jp/meti_lib/report/2021FY/000541.pdf
METI,2023-12-28,令和３年度補正中小企業サイバーセキュリティ対策促進事業（IoT機器脆弱性検証事業）報告書,三菱総合研究所,"商務情報政策局
サイバーセキュリティ課",https://www.meti.go.jp/meti_lib/report/2021FY/050560.pdf
METI,2023-12-01,令和３年度補正廃プラスチックの資源循環高度化調査等委託費（特定プラスチック使用製品の使用の合理化に係る実証等事業）報告書,三菱総合研究所,"産業技術環境局
資源循環経済課",https://www.meti.go.jp/meti_lib/report/2021FY/050547.pdf
METI,2023-11-24,令和３年度補正「デジタルツール等を活用した海外需要拡大事業（アーティスト等と連携した地域ブランドの確立に係る実証事業）」成果報告書,一般社団法人ソトノバ,"商務・サービスグループ
クールジャパン政策課",https://www.meti.go.jp/meti_lib/report/2021FY/000530.pdf
METI,2023-11-24,令和３年度補正「デジタルツール等を活用した海外需要拡大事業（アーティスト等と連携した地域ブランドの確立に係る実証事業）」アートプロジェクトの担い手と公共空間制度等における相談窓口や専門家のネットワーク構築実証報告書,公益財団法人横浜市芸術文化振興財団,"商務・サービスグループ
クールジャパン政策課",https://www.meti.go.jp/meti_lib/report/2021FY/000531.pdf
METI,2023-11-24,令和３年度補正「デジタルツール等を活用した海外需要拡大事業（アーティスト等と連携した地域ブランドの確立に係る実証事業）」中心市街の公共空間や遊休資産を活用した持続的なアート活動促進の実証 実施報告書,特定非営利活動法人クロスメディアしまだ,"商務・サービスグループ
クールジャパン政策課",https://www.meti.go.jp/meti_lib/report/2021FY/000532.pdf
METI,2023-10-19,令和３年度新興国等におけるエネルギー使用の合理化等に資する事業（スマートシティに係る国際動向及び我が国企業等の海外展開可能性調査）調査報告書,野村総合研究所,"資源エネルギー庁
省エネルギー・新エネルギー部政策課国際室",https://www.meti.go.jp/meti_lib/report/2021FY/000594.pdf
METI,2023-10-19,令和３年度産業経済研究委託事業（創造的思考及び創造的態度に関する調査研究）事業報告書,コンセント,"経済産業政策局
産業人材課",https://www.meti.go.jp/meti_lib/report/2021FY/050767.pdf
METI,2023-09-22,令和３年度補正デジタルツール等を活用した海外需要拡大事業（欧州市場における日本文化資本を活用した海外需要獲得に関する調査検討事業）報告書,デジタルガレージ,"商務・サービスグループ
クールジャパン政策課",https://www.meti.go.jp/meti_lib/report/2021FY/050275.pdf
METI,2023-09-22,令和３年度技術協力活用型・新興国市場開拓事業（インフラ海外展開支援）事業報告書,一般財団法人海外産業人材育成協会(AOTS),"貿易経済協力局
貿易振興課",https://www.meti.go.jp/meti_lib/report/2021FY/050309.pdf
METI,2023-09-22,令和３年度エネルギー需給に関する統計整備等のための調査(令和４年経済産業省特定業種石油等消費統計調査)(国庫債務負担行為に係るもの)報告書,一般社団法人経済産業統計協会,"資源エネルギー庁
長官官房総務課戦略企画室",https://www.meti.go.jp/meti_lib/report/2021FY/050355.pdf
METI,2023-09-22,令和３年度平常時及び緊急時における石油需給動向等調査(石油産業情報化推進調査）（令和4年度歳出化分）石油統計速報、資源・エネルギー統計月報(確報）、資源・エネルギー統計年報,サーベイリサーチセンター,"資源エネルギー庁
資源・燃料部政策課",https://www.meti.go.jp/meti_lib/report/2021FY/000398.pdf
METI,2023-09-22,令和３年度補正デジタルツール等を活用した海外需要拡大事業（アーティスト等と連携した地域ブランドの確立に係る実証事業）に関する報告書,一般社団法人リリース,"商務・サービスグループ
クールジャパン政策課",https://www.meti.go.jp/meti_lib/report/2021FY/050401.pdf
METI,2023-09-22,令和３年度市場競争環境評価調査（ゲーム・アニメ市場におけるクリエイティブ人材の新たな活躍に資する競争環境の調査）報告書,エービーコンサルティング,"東北経済産業局
産業部商業・流通サービス産業課",https://www.meti.go.jp/meti_lib/report/2021FY/050403.pdf
METI,2023-09-07,令和３年度取引適正化等推進事業費電子受発注システム普及促進に向けた実証調査事業　報告書,EYストラテジーアンドコンサルティング,"中小企業庁
経営支援部経営支援課",https://www.meti.go.jp/meti_lib/report/2021FY/050093.pdf
METI,2023-09-07,令和３年度補正地域デジタル人材育成・確保推進事業（現場研修プログラム一覧作成・分析及び地域団体等の能力向上・ネットワーク促進事業）事業報告書,ボストン・コンサルティング・グループ,"地域経済産業グループ
地域企業高度化推進課",https://www.meti.go.jp/meti_lib/report/2021FY/050109.pdf
METI,2023-09-07,令和３年度高度な自動走行・MaaS等の社会実装に向けた研究開発・実証事業（CASE等による産業構造変化を見据えた国内技術動向調査）調査報告書,アクセンチュア,"製造産業局
自動車課",https://www.meti.go.jp/meti_lib/report/2021FY/050113.pdf
METI,2023-09-07,令和３年度補正予算「地域デジタル人材育成・確保推進事業（現場研修プログラム候補の案件組成事業）」調査報告書（公表版）,デロイトトーマツリスクアドバイザリー,"関東経済産業局
地域経済部地域振興課",https://www.meti.go.jp/meti_lib/report/2021FY/050165.pdf
METI,2023-09-07,令和３年度補正取引適正化等推進事業（印刷産業における取引改善等に関する調査）報告書,矢野経済研究所,"商務情報政策局
コンテンツ産業課",https://www.meti.go.jp/meti_lib/report/2021FY/050253.pdf
METI,2023-09-01,令和３年度エネルギー需給構造高度化対策に関する調査等事業（脱炭素化が産業活動へ与える影響に関する分析・調査支援事業）調査報告書,デロイトトーマツコンサルティング合同会社,"資源エネルギー庁
長官官房総務課戦略企画室",https://www.meti.go.jp/meti_lib/report/2021FY/050014.pdf
METI,2023-09-01,令和３年度エネルギー需給構造高度化対策に関する調査等委託事業（エネルギー政策動向分析・調査支援事業）報告書,一般財団法人日本エネルギー経済研究所,"資源エネルギー庁
長官官房総務課戦略企画室",https://www.meti.go.jp/meti_lib/report/2021FY/050015.pdf
METI,2023-09-01,令和３年度補正 取引適正化等推進事業 パートナーシップ構築宣言企業に関する実態把握調査事業,帝国データバンク,"中小企業庁
事業環境部企画課",https://www.meti.go.jp/meti_lib/report/2021FY/050037.pdf
METI,2023-09-01,令和３年度補正水素、燃料アンモニア導入及びCCUS適地確保体制構築事業（アジア・トランジション・ファイナンスに関する調査事業）最終報告書 ,マッキンゼー・アンド・カンパニー・インコーポレイテッド・ジャパン,"資源エネルギー庁
資源・燃料部石油・天然ガス課",https://www.meti.go.jp/meti_lib/report/2021FY/050052.pdf
METI,2023-09-01,令和３年度補正インド太平洋地域における DX等を通じた社会課題解決型のビジネス共創促進事業（アフリカ市場活力取り込み事業実施可能性調査事業）業務完了報告書,有限責任監査法人トーマツ,"通商政策局
中東アフリカ課アフリカ室",https://www.meti.go.jp/meti_lib/report/2021FY/050082.pdf
METI,2023-09-01,令和３年度AIを活用した文書作成支援サービスを用いた法令執務の効率化に関する実証調査事業 調査報告書,FRAIM,大臣官房総務課,https://www.meti.go.jp/meti_lib/report/2021FY/000449.pdf
METI,2023-05-26,令和３年度地球温暖化問題等対策調査（地球温暖化問題を巡る国際動向調査（気候変動枠組条約（ＵＮＦＣＣＣ）））調査報告書,一般財団法人電力中央研究所,"産業技術環境局
地球環境連携室",https://www.meti.go.jp/meti_lib/report/2021FY/000775.pdf
METI,2023-05-26,令和３年度二国間クレジット取得等のためのインフラ整備調査事業（ＣＤＭの運用に係る方法論及び信任に関する調査）報告書,三菱総合研究所,"産業技術環境局
地球環境連携室",https://www.meti.go.jp/meti_lib/report/2021FY/000776.pdf
METI,2023-05-26,令和３年度地球温暖化問題等対策調査（途上国における適応分野の我が国企業の貢献可視化事業）報告書,EY新日本有限責任監査法人,"産業技術環境局
地球環境連携室",https://www.meti.go.jp/meti_lib/report/2021FY/000777.pdf
METI,2023-05-26,令和３年度地球温暖化問題等対策調査（途上国における適応分野の我が国企業の貢献可視化事業）報告書（英語版）,EY新日本有限責任監査法人,"産業技術環境局
地球環境連携室",https://www.meti.go.jp/meti_lib/report/2021FY/000778.pdf
METI,2023-05-26,令和３年度二国間クレジット取得等のためのインフラ整備調査事業（市場メカニズム交渉等に係る国際動向調査）報告書,一般財団法人日本エネルギー経済研究所,"産業技術環境局
地球環境連携室",https://www.meti.go.jp/meti_lib/report/2021FY/000779.pdf
METI,2023-05-26,令和３年度二国間クレジット取得等のためのインフラ整備調査事業（市場メカニズム交渉等に係る国際動向調査）報告書（英語版）,一般財団法人日本エネルギー経済研究所,"産業技術環境局
地球環境連携室",https://www.meti.go.jp/meti_lib/report/2021FY/000780.pdf
METI,2023-05-26,令和３年度燃料安定供給対策に関する調査等（バイオ燃料を中心とした我が国の燃料政策の在り方に関する調査）報告書,三菱総合研究所,"資源エネルギー庁
資源・燃料部政策課",https://www.meti.go.jp/meti_lib/report/2021FY/000782.pdf
METI,2023-05-26,令和３年度エネルギー需給構造高度化対策に関する調査等事業（電力業界の経営分析及び中長期の資金調達のあり方に関する調査報告事業）報告書,デロイトトーマツファイナンシャルアドバイザリー合同会社,"資源エネルギー庁
電力・ガス事業部政策課電力産業・市場室",https://www.meti.go.jp/meti_lib/report/2021FY/000786.pdf
METI,2023-05-26,令和３年度補正取引適正化等推進事業（消費税に関する取引実態等調査事業）インボイス制度導入に係る取引実態調査最終報告書,東京商工リサーチ,"中小企業庁
事業環境部取引課",https://www.meti.go.jp/meti_lib/report/2021FY/000789.pdf
METI,2023-05-26,令和３年度補正取引適正化等推進事業（消費税に関する取引実態等調査事業）消費税転嫁に関する調査最終報告書,東京商工リサーチ,"中小企業庁
事業環境部取引課",https://www.meti.go.jp/meti_lib/report/2021FY/000790.pdf
METI,2023-05-26,令和３年度デジタル取引環境整備事業（各種デジタルプラットフォームに関するＳＮＳ投稿のモニタリング調査）成果報告書 ECモール Amazon・Yahoo!ショッピング・楽天市場SNS話題調査,イー・ガーディアン,"商務情報政策局
情報経済課",https://www.meti.go.jp/meti_lib/report/2021FY/000801.pdf
METI,2023-05-26,令和３年度エネルギー需給に関する統計整備等のための調査（総合エネルギー統計関係の整備及び分析に関する調査）調査報告書,一般財団法人日本エネルギー経済研究所,"資源エネルギー庁
長官官房総務課戦略企画室",https://www.meti.go.jp/meti_lib/report/2021FY/000809.pdf
